model,seed,fold,n_train,n_test,roc_auc,average_precision,accuracy
rmmol_true,11,1,1622,406,0.8943306820104925,0.9598834405388827,0.8571428571428571
rmmol_true,11,2,1622,406,0.9125672043010752,0.9628172297084624,0.8768472906403941
rmmol_true,11,3,1622,406,0.8909610215053764,0.958588182905463,0.8522167487684729
rmmol_true,11,4,1623,405,0.8912054329371817,0.954742049442202,0.8839506172839506
rmmol_true,11,5,1623,405,0.9325636672325976,0.9780959832519645,0.8740740740740741
rmmol_true,17,1,1622,406,0.9048908444745304,0.9602454381999488,0.8719211822660099
rmmol_true,17,2,1622,406,0.9199596774193548,0.972069964454525,0.8768472906403941
rmmol_true,17,3,1622,406,0.8913306451612902,0.9588593443865808,0.8596059113300493
rmmol_true,17,4,1623,405,0.913684210526316,0.9664980730973444,0.8814814814814815
rmmol_true,17,5,1623,405,0.8922241086587435,0.9572100635320464,0.8567901234567902
rmmol_true,23,1,1622,406,0.9023015738703672,0.9639675985916794,0.8596059113300493
rmmol_true,23,2,1622,406,0.9236895161290324,0.9718455356791942,0.8866995073891626
rmmol_true,23,3,1622,406,0.8931451612903224,0.9584848548005808,0.8866995073891626
rmmol_true,23,4,1623,405,0.924414261460102,0.9721260752122016,0.8790123456790123
rmmol_true,23,5,1623,405,0.8681154499151104,0.9441414417365857,0.8641975308641975
confseq,11,1,1622,406,0.9155863936368251,0.9706810935935472,0.8719211822660099
confseq,11,2,1622,406,0.9014448924731182,0.9626978716492623,0.8793103448275862
confseq,11,3,1622,406,0.885483870967742,0.9603225728977036,0.8399014778325123
confseq,11,4,1623,405,0.9035993208828524,0.9520360524115624,0.8962962962962963
confseq,11,5,1623,405,0.8985059422750424,0.9656798516899192,0.8691358024691358
confseq,17,1,1622,406,0.9028261973261128,0.9661903320086308,0.874384236453202
confseq,17,2,1622,406,0.9119959677419356,0.9681087376111412,0.8842364532019704
confseq,17,3,1622,406,0.8681115591397851,0.950669217850667,0.8448275862068966
confseq,17,4,1623,405,0.9003056027164686,0.9622932011331976,0.8790123456790123
confseq,17,5,1623,405,0.9094057724957556,0.9591897540654156,0.8814814814814815
confseq,23,1,1622,406,0.8954814689456762,0.9638919877222224,0.8669950738916257
confseq,23,2,1622,406,0.8967405913978496,0.9631695695694956,0.874384236453202
confseq,23,3,1622,406,0.8749327956989247,0.95324451546999,0.8571428571428571
confseq,23,4,1623,405,0.929949066213922,0.9765868954257731,0.8888888888888888
confseq,23,5,1623,405,0.8813921901528012,0.9472594506507312,0.8493827160493828
grover,11,1,1622,406,0.926315789473684,0.9755163582396428,0.874384236453202
grover,11,2,1622,406,0.8985887096774193,0.9585676265608728,0.896551724137931
grover,11,3,1622,406,0.8730846774193548,0.9425682566515848,0.8694581280788177
grover,11,4,1623,405,0.9093548387096774,0.959140631038097,0.8790123456790123
grover,11,5,1623,405,0.925195246179966,0.9701946773200404,0.8938271604938272
grover,17,1,1622,406,0.8873921137248265,0.955193007178718,0.8842364532019704
grover,17,2,1622,406,0.9120631720430108,0.968090475827917,0.8669950738916257
grover,17,3,1622,406,0.8805107526881721,0.9506791304163136,0.8596059113300493
grover,17,4,1623,405,0.9132088285229204,0.9645000028755824,0.8938271604938272
grover,17,5,1623,405,0.9137521222410868,0.9626410436364964,0.8839506172839506
grover,23,1,1622,406,0.9066677948891522,0.9650605261212618,0.8669950738916257
grover,23,2,1622,406,0.9185483870967744,0.9687740376233698,0.8866995073891626
