dataset,dataset_key,task,fold,metric,value,mae,rmse,r2,n_train,n_test,probe,pearson
BACE,bace,Class,1,roc_auc,0.851027097902098,0.2046204620462046,0.4523499331780702,0.1789335664335664,1209,303,rf,
BACE,bace,Class,2,roc_auc,0.8868093862183698,0.198019801980198,0.4449941594899848,0.2040977147360126,1209,303,rf,
BACE,bace,Class,3,roc_auc,0.8753142959770114,0.1854304635761589,0.4306163763446055,0.2406609195402299,1210,302,rf,
BACE,bace,Class,4,roc_auc,0.8655589788732394,0.2119205298013245,0.4603482701187488,0.1492957746478874,1210,302,rf,
BACE,bace,Class,5,roc_auc,0.8732581287325814,0.2152317880794702,0.4639308009600895,0.1316080513160804,1210,302,rf,
BBBP,bbbp,p_np,1,roc_auc,0.89503241238257,0.1078431372549019,0.3283947887145926,0.3776822546538636,1628,408,rf,
BBBP,bbbp,p_np,2,roc_auc,0.9106450955067636,0.1228501228501228,0.3504998186163908,0.3083406974372918,1629,407,rf,
BBBP,bbbp,p_np,3,roc_auc,0.8810725552050473,0.1203931203931203,0.3469771179676267,0.300981423063442,1629,407,rf,
BBBP,bbbp,p_np,4,roc_auc,0.8896742671009772,0.1351351351351351,0.3676073110469038,0.2708469055374592,1629,407,rf,
BBBP,bbbp,p_np,5,roc_auc,0.8952318599897803,0.1425061425061425,0.3774998576240029,0.2461037301992845,1629,407,rf,
Clintox,clintox,FDA_APPROVED,1,roc_auc,0.8609327475498479,0.0824742268041237,0.2871832634470952,-0.1801284217641097,1161,291,rf,
Clintox,clintox,CT_TOX,1,roc_auc,0.7986148832156438,0.0996563573883161,0.3156839517433792,-0.145980445410103,1161,291,rf,
Clintox,clintox,FDA_APPROVED,2,roc_auc,0.7823671497584541,0.0790378006872852,0.2811366228140425,-0.6166666666666667,1161,291,rf,
Clintox,clintox,CT_TOX,2,roc_auc,0.667887667887668,0.0893470790378006,0.2989098175667716,-0.5396825396825393,1161,291,rf,
Clintox,clintox,FDA_APPROVED,3,roc_auc,0.6738360771818022,0.0862068965517241,0.2936101097573517,-0.2834129934501685,1162,290,rf,
Clintox,clintox,CT_TOX,3,roc_auc,0.7292830188679246,0.096551724137931,0.3107277331329326,-0.2256603773584906,1162,290,rf,
Clintox,clintox,FDA_APPROVED,4,roc_auc,0.7348148148148148,0.0724137931034482,0.2690981105534713,-0.1277777777777775,1162,290,rf,
Clintox,clintox,CT_TOX,4,roc_auc,0.7870053737176357,0.0793103448275862,0.281620923987523,-0.0861423220973784,1162,290,rf,
Clintox,clintox,FDA_APPROVED,5,roc_auc,0.7175757575757576,0.1034482758620689,0.3216337604513384,-1.1090909090909091,1162,290,rf,
Clintox,clintox,CT_TOX,5,roc_auc,0.7209653092006033,0.1,0.3162277660168379,-0.8121094591682827,1162,290,rf,
ESOL,esol,ESOL predicted log solubility in mols per litre,1,rmse,1.06345719461275,0.8171753565864226,1.06345719461275,0.5490118568024089,902,226,ridge,0.7440414261792236
ESOL,esol,ESOL predicted log solubility in mols per litre,2,rmse,1.2126868948129372,0.9550916992879548,1.2126868948129372,0.6066710242492834,902,226,ridge,0.802447717826114
ESOL,esol,ESOL predicted log solubility in mols per litre,3,rmse,1.2017724130157923,0.88173548370125,1.2017724130157923,0.4987625306400285,902,226,ridge,0.7065123784636785
