dataset,dataset_key,task,model,metric,mean,std,n_folds,probe,mae_mean,mae_std,r2_mean,r2_std,pearson_mean,pearson_std
BACE,bace,Class,ConfSeq,ROC-AUC,0.8703935775406599,0.0118349632519076,5,rf,,,,,,
BACE,bace,__aggregate__,ConfSeq,ROC-AUC,0.8703935775406599,0.0,5,rf,,,,,,
BBBP,bbbp,p_np,ConfSeq,ROC-AUC,0.8943312380370279,0.0096428705233011,5,rf,,,,,,
BBBP,bbbp,__aggregate__,ConfSeq,ROC-AUC,0.8943312380370279,0.0,5,rf,,,,,,
Clintox,clintox,CT_TOX,ConfSeq,ROC-AUC,0.740751250577895,0.0475809823073407,5,rf,,,,,,
Clintox,clintox,FDA_APPROVED,ConfSeq,ROC-AUC,0.7539053093761353,0.0638127168216158,5,rf,,,,,,
Clintox,clintox,__aggregate__,ConfSeq,ROC-AUC,0.7473282799770151,0.0065770293991201,5,rf,,,,,,
ESOL,esol,ESOL predicted log solubility in mols per litre,ConfSeq,RMSE,1.1142485374107602,0.0861931796241887,5,ridge,0.8437478044001787,0.0704162124517138,0.5538386086642869,0.0342864782894485,0.7510446231827901,0.0305773247803983
FreeSolv,freesolv,expt,ConfSeq,RMSE,2.573317077908432,0.3586694426684085,5,ridge,1.9500660733127777,0.1333322165095049,0.5414553154511931,0.0292635515640082,0.746239637005195,0.026389517482672
HIV,hiv,HIV_active,ConfSeq,ROC-AUC,0.8073685996926885,0.0134220010862946,5,rf,,,,,,
HIV,hiv,__aggregate__,ConfSeq,ROC-AUC,0.8073685996926885,0.0,5,rf,,,,,,
Lipophilicity,lipo,exp,ConfSeq,RMSE,1.0767840955161925,0.0189546081378239,5,ridge,0.8616175669185161,0.0186873706041425,0.1962323068282966,0.0219818427279188,0.4447879432876441,0.0239032052621197
QM9,qm9,alpha,ConfSeq,MAE,4.384236225948202,0.0245944095415228,5,linear,4.384236225948202,0.0245944095415228,0.4609900082877596,0.0010945926081115,0.6789877030325876,0.0007992211534039
QM9,qm9,cv,ConfSeq,MAE,1.8182124508452,0.0071547548618801,5,linear,1.8182124508452,0.0071547548618801,0.6370658484512892,0.002435510238033,0.7981841330700115,0.0015164349228713
QM9,qm9,g298,ConfSeq,MAE,20.537395135941097,0.0722146867241899,5,linear,20.537395135941097,0.0722146867241899,0.4876133642547453,0.004826269989554,0.6983308864141302,0.0034681880888536
QM9,qm9,gap,ConfSeq,MAE,0.0208765504128645,0.0001127524381394,5,linear,0.0208765504128645,0.0001127524381394,0.684078585457775,0.002776481344317,0.8271094142413784,0.0016714195027062
QM9,qm9,h298,ConfSeq,MAE,20.53690483660186,0.0722100369575673,5,linear,20.53690483660186,0.0722100369575673,0.4876236998122231,0.0048258443972503,0.6983382820742194,0.0034678405655441
QM9,qm9,homo,ConfSeq,MAE,0.01237075703987,7.141593096123228e-05,5,linear,0.01237075703987,7.141593096123228e-05,0.445107370798576,0.0039592434439982,0.6671771025118071,0.0029739389638515
QM9,qm9,lumo,ConfSeq,MAE,0.0198842918922841,9.709745672636134e-05,5,linear,0.0198842918922841,9.709745672636134e-05,0.7120523214505022,0.0025001752621211,0.8438496335861909,0.0014703585743059
QM9,qm9,mu,ConfSeq,MAE,0.9609269477646488,0.0056387358563115,5,linear,0.9609269477646488,0.0056387358563115,0.2949970083546374,0.0024351526749148,0.5431985355568875,0.0022718588366573
QM9,qm9,r2,ConfSeq,MAE,129.705510860234,0.8997468617945085,5,linear,129.705510860234,0.8997468617945085,0.5885613870848898,0.0034486161456618,0.7672149951131575,0.0022553742042927
QM9,qm9,u0,ConfSeq,MAE,20.53707621008861,0.0722168249716157,5,linear,20.53707621008861,0.0722168249716157,0.4876189056995268,0.0048259892592009,0.698334847627536,0.0034679665452599
QM9,qm9,u298,ConfSeq,MAE,20.536908696723447,0.0722127874103238,5,linear,20.536908696723447,0.0722127874103238,0.4876237025359157,0.0048258384839763,0.6983382850640624,0.0034678370151357
QM9,qm9,zpve,ConfSeq,MAE,0.0127614793218302,4.6292901888080206e-05,5,linear,0.0127614793218302,4.6292901888080206e-05,0.7548617239178391,0.0028115625674095,0.8688430063650016,0.0016079205544979
Sider,sider,Blood and lymphatic system disorders,ConfSeq,ROC-AUC,0.668031203793005,0.0238523315117244,5,logreg,,,,,,
Sider,sider,Cardiac disorders,ConfSeq,ROC-AUC,0.6022494180171252,0.0219714829892954,5,logreg,,,,,,
Sider,sider,"Congenital, familial and genetic disorders",ConfSeq,ROC-AUC,0.5477157540371749,0.0213565497783566,5,logreg,,,,,,
Sider,sider,Ear and labyrinth disorders,ConfSeq,ROC-AUC,0.5792355592323328,0.0248945726406281,5,logreg,,,,,,
Sider,sider,Endocrine disorders,ConfSeq,ROC-AUC,0.6409369247147628,0.0450746447197691,5,logreg,,,,,,
Sider,sider,Eye disorders,ConfSeq,ROC-AUC,0.6215842387384554,0.0248802889464324,5,logreg,,,,,,
Sider,sider,Gastrointestinal disorders,ConfSeq,ROC-AUC,0.6778631643746488,0.0421218113989887,5,logreg,,,,,,
Sider,sider,General disorders and administration site conditions,ConfSeq,ROC-AUC,0.5569828602538567,0.043012573527226,5,logreg,,,,,,
Sider,sider,Hepatobiliary disorders,ConfSeq,ROC-AUC,0.6696309129373,0.0207644182927663,5,logreg,,,,,,
Sider,sider,Immune system disorders,ConfSeq,ROC-AUC,0.5770482137795389,0.0424612400213151,5,logreg,,,,,,
Sider,sider,Infections and infestations,ConfSeq,ROC-AUC,0.6071303964360217,0.0096874431424889,5,logreg,,,,,,
Sider,sider,"Injury, poisoning and procedural complications",ConfSeq,ROC-AUC,0.5420958570690841,0.0197046157048436,5,logreg,,,,,,
Sider,sider,Investigations,ConfSeq,ROC-AUC,0.6367420703544087,0.0364928495737741,5,logreg,,,,,,
Sider,sider,Metabolism and nutrition disorders,ConfSeq,ROC-AUC,0.5833561845279123,0.0388251501213183,5,logreg,,,,,,
Sider,sider,Musculoskeletal and connective tissue disorders,ConfSeq,ROC-AUC,0.6086303853939767,0.0272149403690062,5,logreg,,,,,,
Sider,sider,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",ConfSeq,ROC-AUC,0.6150050334454347,0.0591604523867256,5,logreg,,,,,,
Sider,sider,Nervous system disorders,ConfSeq,ROC-AUC,0.6906332029827389,0.0334415151935033,5,logreg,,,,,,
Sider,sider,"Pregnancy, puerperium and perinatal conditions",ConfSeq,ROC-AUC,0.5919093690529822,0.0696220170735641,5,logreg,,,,,,
Sider,sider,Product issues,ConfSeq,ROC-AUC,0.513060778494441,0.1081182867045203,5,logreg,,,,,,
Sider,sider,Psychiatric disorders,ConfSeq,ROC-AUC,0.6340899361051744,0.0297444078118858,5,logreg,,,,,,
Sider,sider,Renal and urinary disorders,ConfSeq,ROC-AUC,0.6010924623171465,0.019708157809792,5,logreg,,,,,,
Sider,sider,Reproductive system and breast disorders,ConfSeq,ROC-AUC,0.6400962988238961,0.0494012706846618,5,logreg,,,,,,
Sider,sider,"Respiratory, thoracic and mediastinal disorders",ConfSeq,ROC-AUC,0.5892492028891692,0.0360574501918553,5,logreg,,,,,,
Sider,sider,Skin and subcutaneous tissue disorders,ConfSeq,ROC-AUC,0.6438300008304859,0.03038428019289,5,logreg,,,,,,
Sider,sider,Social circumstances,ConfSeq,ROC-AUC,0.5745967002427574,0.0247850746158921,5,logreg,,,,,,
Sider,sider,Surgical and medical procedures,ConfSeq,ROC-AUC,0.5832501968405694,0.0439762856336493,5,logreg,,,,,,
Sider,sider,Vascular disorders,ConfSeq,ROC-AUC,0.6014565230961554,0.0206118254243125,5,logreg,,,,,,
Sider,sider,__aggregate__,ConfSeq,ROC-AUC,0.6073149203252057,0.0424647169390578,5,logreg,,,,,,
Tox21,tox21,NR-AR,ConfSeq,ROC-AUC,0.7889755490362551,0.0392156283893996,5,logreg,,,,,,
Tox21,tox21,NR-AR-LBD,ConfSeq,ROC-AUC,0.8216745300957504,0.0348090510631752,5,logreg,,,,,,
Tox21,tox21,NR-AhR,ConfSeq,ROC-AUC,0.8564407776728171,0.0137995136156691,5,logreg,,,,,,
Tox21,tox21,NR-Aromatase,ConfSeq,ROC-AUC,0.7387148817016403,0.0314070521564181,5,logreg,,,,,,
Tox21,tox21,NR-ER,ConfSeq,ROC-AUC,0.7012337675052788,0.0201584034429917,5,logreg,,,,,,
Tox21,tox21,NR-ER-LBD,ConfSeq,ROC-AUC,0.734361689474166,0.0190960657207578,5,logreg,,,,,,
Tox21,tox21,NR-PPAR-gamma,ConfSeq,ROC-AUC,0.6991242187701012,0.0373452534950406,5,logreg,,,,,,
Tox21,tox21,SR-ARE,ConfSeq,ROC-AUC,0.7070074208349864,0.0260549808323048,5,logreg,,,,,,
Tox21,tox21,SR-ATAD5,ConfSeq,ROC-AUC,0.772841681215785,0.0359699721963572,5,logreg,,,,,,
Tox21,tox21,SR-HSE,ConfSeq,ROC-AUC,0.7055829335659599,0.0241368205602473,5,logreg,,,,,,
Tox21,tox21,SR-MMP,ConfSeq,ROC-AUC,0.7959217789733826,0.0084254580871085,5,logreg,,,,,,
Tox21,tox21,SR-p53,ConfSeq,ROC-AUC,0.7453515419687086,0.011205179077351,5,logreg,,,,,,
Tox21,tox21,__aggregate__,ConfSeq,ROC-AUC,0.7556025642345693,0.0495152378280825,5,logreg,,,,,,
