domain,method,domain_score,direct_mean,task_weighted_mean,unweighted_mean,metric,higher_better,n_tasks,n_items,kind
Physiological,RMMol,79.83000000000001,79.83000000000001,71.21731707317073,79.83000000000001,AU-ROC,True,41,4,classification
Physiological,ConfSeq,75.27885079932345,75.27885079932345,66.12919552928915,75.27885079932345,AU-ROC,True,41,4,classification
Physiological,MoLFormer,77.45250000000001,77.45250000000001,66.84707317073169,77.45250000000001,AU-ROC,True,41,4,classification
Physiological,MoleBERT,78.92250000000001,78.92250000000001,72.46975609756097,78.92250000000001,AU-ROC,True,41,4,classification
Physiological,GROVER,77.0025,77.0025,70.97536585365854,77.0025,AU-ROC,True,41,4,classification
Physiological,UniMol,77.2225,77.2225,69.21121951219511,77.2225,AU-ROC,True,41,4,classification
Physiological,FCFP,78.4625,78.4625,68.74024390243902,78.4625,AU-ROC,True,41,4,classification
Biophysics,RMMol,85.54499999999999,85.54499999999999,85.54499999999999,85.54499999999999,AU-ROC,True,2,2,classification
Biophysics,ConfSeq,83.88810886166742,83.88810886166742,83.88810886166742,83.88810886166742,AU-ROC,True,2,2,classification
Biophysics,MoLFormer,85.405,85.405,85.405,85.405,AU-ROC,True,2,2,classification
Biophysics,MoleBERT,84.32499999999999,84.32499999999999,84.32499999999999,84.32499999999999,AU-ROC,True,2,2,classification
Biophysics,GROVER,84.63499999999999,84.63499999999999,84.63499999999999,84.63499999999999,AU-ROC,True,2,2,classification
Biophysics,UniMol,80.205,80.205,80.205,80.205,AU-ROC,True,2,2,classification
Biophysics,FCFP,85.41,85.41,85.41,85.41,AU-ROC,True,2,2,classification
Physical Chemistry,RMMol,1.1344333333333334,1.1344333333333334,1.1344333333333334,1.1344333333333334,RMSE,False,3,3,regression
Physical Chemistry,ConfSeq,1.5881165702784614,1.5881165702784614,1.5881165702784614,1.5881165702784614,RMSE,False,3,3,regression
Physical Chemistry,MoLFormer,1.2580333333333331,1.2580333333333331,1.2580333333333331,1.2580333333333331,RMSE,False,3,3,regression
Physical Chemistry,MoleBERT,1.511866666666667,1.511866666666667,1.511866666666667,1.511866666666667,RMSE,False,3,3,regression
Physical Chemistry,GROVER,1.3459666666666668,1.3459666666666668,1.3459666666666668,1.3459666666666668,RMSE,False,3,3,regression
Physical Chemistry,UniMol,1.4202666666666666,1.4202666666666666,1.4202666666666666,1.4202666666666666,RMSE,False,3,3,regression
Physical Chemistry,FCFP,1.2089333333333332,1.2089333333333332,1.2089333333333332,1.2089333333333332,RMSE,False,3,3,regression
Quantum Mechanics,RMMol,6.203324999999999,6.203324999999999,6.203324999999999,6.203324999999999,MAE,False,12,12,regression
Quantum Mechanics,ConfSeq,18.25692203690116,18.25692203690116,18.25692203690116,18.25692203690116,MAE,False,12,12,regression
Quantum Mechanics,MoLFormer,13.730200000000002,13.730200000000002,13.730200000000002,13.730200000000002,MAE,False,12,12,regression
Quantum Mechanics,MoleBERT,18.81788333333333,18.81788333333333,18.81788333333333,18.81788333333333,MAE,False,12,12,regression
Quantum Mechanics,GROVER,7.302841666666667,7.302841666666667,7.302841666666667,7.302841666666667,MAE,False,12,12,regression
Quantum Mechanics,UniMol,6.641791666666665,6.641791666666665,6.641791666666665,6.641791666666665,MAE,False,12,12,regression
Quantum Mechanics,FCFP,18.0187,18.0187,18.0187,18.0187,MAE,False,12,12,regression
