task,method,value,std,note
mu,RMMol,0.7798,0.0038,GraphWorld plot_eval reported value
mu,MoLFormer,0.8167,0.0045,GraphWorld plot_eval reported value
mu,MoleBERT,0.8999,0.0031,GraphWorld plot_eval reported value
mu,GROVER,0.6304,0.0031,GraphWorld plot_eval reported value
mu,UniMol,0.7786,0.0039,GraphWorld plot_eval reported value
mu,FCFP,0.7993,0.0064,GraphWorld plot_eval reported value
mu,ConfSeq,0.9609269477646488,0.0056387358563115,ConfSeq QM9 MAE
alpha,RMMol,0.9783,0.0049,GraphWorld plot_eval reported value
alpha,MoLFormer,2.9549,0.0037,GraphWorld plot_eval reported value
alpha,MoleBERT,4.1622,0.0186,GraphWorld plot_eval reported value
alpha,GROVER,1.427,0.0116,GraphWorld plot_eval reported value
alpha,UniMol,1.3085,0.0066,GraphWorld plot_eval reported value
alpha,FCFP,3.8437,0.0259,GraphWorld plot_eval reported value
alpha,ConfSeq,4.384236225948202,0.0245944095415228,ConfSeq QM9 MAE
r2,RMMol,65.7886,0.2954,GraphWorld plot_eval reported value
r2,MoLFormer,105.2741,0.3389,GraphWorld plot_eval reported value
r2,MoleBERT,139.5309,0.3937,GraphWorld plot_eval reported value
r2,GROVER,57.8455,0.3427,GraphWorld plot_eval reported value
r2,UniMol,58.3827,0.2108,GraphWorld plot_eval reported value
r2,FCFP,143.8641,0.5585,GraphWorld plot_eval reported value
r2,ConfSeq,129.705510860234,0.8997468617945085,ConfSeq QM9 MAE
zpve,RMMol,0.0016,0.0,GraphWorld plot_eval reported value
zpve,MoLFormer,0.0076,0.0,GraphWorld plot_eval reported value
zpve,MoleBERT,0.0117,0.0,GraphWorld plot_eval reported value
zpve,GROVER,0.0029,0.0,GraphWorld plot_eval reported value
zpve,UniMol,0.0053,0.0,GraphWorld plot_eval reported value
zpve,FCFP,0.0116,0.0001,GraphWorld plot_eval reported value
zpve,ConfSeq,0.0127614793218302,4.6292901888080206e-05,ConfSeq QM9 MAE
Cv,RMMol,0.4211,0.0019,GraphWorld plot_eval reported value
Cv,MoLFormer,1.2164,0.0038,GraphWorld plot_eval reported value
Cv,MoleBERT,1.902,0.0035,GraphWorld plot_eval reported value
Cv,GROVER,0.6391,0.009,GraphWorld plot_eval reported value
Cv,UniMol,0.7435,0.0056,GraphWorld plot_eval reported value
Cv,FCFP,1.8922,0.0134,GraphWorld plot_eval reported value
Cv,ConfSeq,1.8182124508452,0.0071547548618801,ConfSeq QM9 MAE
gap,RMMol,0.0134,0.0001,GraphWorld plot_eval reported value
gap,MoLFormer,0.0164,0.0001,GraphWorld plot_eval reported value
gap,MoleBERT,0.0192,0.0001,GraphWorld plot_eval reported value
gap,GROVER,0.0081,0.0001,GraphWorld plot_eval reported value
gap,UniMol,0.0156,0.0,GraphWorld plot_eval reported value
gap,FCFP,0.016,0.0001,GraphWorld plot_eval reported value
gap,ConfSeq,0.0208765504128645,0.0001127524381394,ConfSeq QM9 MAE
homo,RMMol,0.0081,0.0,GraphWorld plot_eval reported value
homo,MoLFormer,0.0091,0.0,GraphWorld plot_eval reported value
homo,MoleBERT,0.0192,0.0001,GraphWorld plot_eval reported value
homo,GROVER,0.005,0.0,GraphWorld plot_eval reported value
homo,UniMol,0.0086,0.0,GraphWorld plot_eval reported value
homo,FCFP,0.009,0.0,GraphWorld plot_eval reported value
homo,ConfSeq,0.01237075703987,7.141593096123228e-05,ConfSeq QM9 MAE
lumo,RMMol,0.011,0.0001,GraphWorld plot_eval reported value
lumo,MoLFormer,0.0143,0.0,GraphWorld plot_eval reported value
lumo,MoleBERT,0.0178,0.0001,GraphWorld plot_eval reported value
lumo,GROVER,0.0063,0.0001,GraphWorld plot_eval reported value
lumo,UniMol,0.014,0.0001,GraphWorld plot_eval reported value
lumo,FCFP,0.015,0.0,GraphWorld plot_eval reported value
lumo,ConfSeq,0.0198842918922841,9.709745672636134e-05,ConfSeq QM9 MAE
u0,RMMol,1.6095,0.0103,GraphWorld plot_eval reported value
u0,MoLFormer,13.6132,0.0595,GraphWorld plot_eval reported value
u0,MoleBERT,19.8129,0.0816,GraphWorld plot_eval reported value
u0,GROVER,6.7675,0.054,GraphWorld plot_eval reported value
u0,UniMol,4.6112,0.0169,GraphWorld plot_eval reported value
u0,FCFP,16.4434,0.0999,GraphWorld plot_eval reported value
u0,ConfSeq,20.53707621008861,0.0722168249716157,ConfSeq QM9 MAE
U,RMMol,1.6095,0.0103,GraphWorld plot_eval reported value
U,MoLFormer,13.6132,0.0595,GraphWorld plot_eval reported value
U,MoleBERT,19.8127,0.0816,GraphWorld plot_eval reported value
U,GROVER,6.7674,0.0541,GraphWorld plot_eval reported value
U,UniMol,4.6111,0.0169,GraphWorld plot_eval reported value
U,FCFP,16.4431,0.0999,GraphWorld plot_eval reported value
U,ConfSeq,20.536908696723447,0.0722127874103238,ConfSeq QM9 MAE
H,RMMol,1.6095,0.0103,GraphWorld plot_eval reported value
H,MoLFormer,13.613,0.0596,GraphWorld plot_eval reported value
H,MoleBERT,19.8127,0.0816,GraphWorld plot_eval reported value
H,GROVER,6.7673,0.054,GraphWorld plot_eval reported value
H,UniMol,4.6111,0.0169,GraphWorld plot_eval reported value
H,FCFP,16.4431,0.0999,GraphWorld plot_eval reported value
