task,method,value,std,note
ESOL,RMMol,0.6981,0.0388,GraphWorld plot_eval reported value
ESOL,MoLFormer,0.7615,0.0559,GraphWorld plot_eval reported value
ESOL,MoleBERT,1.0127,0.0617,GraphWorld plot_eval reported value
ESOL,GROVER,0.7503,0.147,GraphWorld plot_eval reported value
ESOL,UniMol,0.7991,0.0336,GraphWorld plot_eval reported value
ESOL,FCFP,0.8391,0.06,GraphWorld plot_eval reported value
ESOL,ConfSeq,1.1142485374107602,0.0861931796241887,ConfSeq benchmark value
FreeSolv,RMMol,2.2631,0.1984,GraphWorld plot_eval reported value
FreeSolv,MoLFormer,2.0909,0.1312,GraphWorld plot_eval reported value
FreeSolv,MoleBERT,2.6251,0.4627,GraphWorld plot_eval reported value
FreeSolv,GROVER,2.5027,0.3435,GraphWorld plot_eval reported value
FreeSolv,UniMol,2.5922,0.2917,GraphWorld plot_eval reported value
FreeSolv,FCFP,1.9718,0.3046,GraphWorld plot_eval reported value
FreeSolv,ConfSeq,2.573317077908432,0.3586694426684085,ConfSeq benchmark value
Lipophilicity,RMMol,0.4421,0.2247,GraphWorld plot_eval reported value
Lipophilicity,MoLFormer,0.9217,0.0221,GraphWorld plot_eval reported value
Lipophilicity,MoleBERT,0.8978,0.0249,GraphWorld plot_eval reported value
Lipophilicity,GROVER,0.7849,0.0103,GraphWorld plot_eval reported value
Lipophilicity,UniMol,0.8695,0.0228,GraphWorld plot_eval reported value
Lipophilicity,FCFP,0.8159,0.0145,GraphWorld plot_eval reported value
Lipophilicity,ConfSeq,1.0767840955161925,0.0189546081378239,ConfSeq benchmark value
