domain,task,kind,method,value,std,n_tasks,higher_better,note,normalized_score
Physiological,BBBP,classification,RMMol,91.0,1.59,1,True,dataset-level mean weighted by task count,1.0
Physiological,BBBP,classification,MoLFormer,89.25,0.0001,1,True,dataset-level mean weighted by task count,0.6673003802281372
Physiological,BBBP,classification,MoleBERT,87.95,2.19,1,True,dataset-level mean weighted by task count,0.4201520912547539
Physiological,BBBP,classification,GROVER,89.31,1.92,1,True,dataset-level mean weighted by task count,0.6787072243346015
Physiological,BBBP,classification,UniMol,89.36,1.81,1,True,dataset-level mean weighted by task count,0.6882129277566542
Physiological,BBBP,classification,FCFP,85.74,0.0,1,True,dataset-level mean weighted by task count,0.0
Physiological,BBBP,classification,ConfSeq,89.43312380370278,0.0,1,True,dataset-level mean weighted by task count,0.7021147915784764
Physiological,Clintox,classification,RMMol,81.18,3.34,1,True,ClinTox FDA_APPROVED label used for the domain summary,0.5832784726793948
Physiological,Clintox,classification,MoLFormer,82.79,3.15,1,True,ClinTox FDA_APPROVED label used for the domain summary,0.6892692560895329
Physiological,Clintox,classification,MoleBERT,76.72,6.63,1,True,ClinTox FDA_APPROVED label used for the domain summary,0.2896642527978935
Physiological,Clintox,classification,GROVER,72.32,7.15,1,True,ClinTox FDA_APPROVED label used for the domain summary,0.0
Physiological,Clintox,classification,UniMol,76.11,7.8,1,True,ClinTox FDA_APPROVED label used for the domain summary,0.24950625411454927
Physiological,Clintox,classification,FCFP,87.51,0.0,1,True,ClinTox FDA_APPROVED label used for the domain summary,1.0
Physiological,Clintox,classification,ConfSeq,75.39053093761353,6.38127168216158,1,True,ClinTox FDA_APPROVED label used for the domain summary,0.2021416022128728
Physiological,Tox21,classification,RMMol,81.67,4.56,12,True,dataset-level mean weighted by task count,0.6662938309607997
Physiological,Tox21,classification,MoLFormer,76.74,5.74,12,True,dataset-level mean weighted by task count,0.1286561141754212
Physiological,Tox21,classification,MoleBERT,84.73,4.76,12,True,dataset-level mean weighted by task count,1.0
Physiological,Tox21,classification,GROVER,80.26,0.38,12,True,dataset-level mean weighted by task count,0.5125272628741099
Physiological,Tox21,classification,UniMol,80.01,1.95,12,True,dataset-level mean weighted by task count,0.4852636869722145
Physiological,Tox21,classification,FCFP,76.74,4.48,12,True,dataset-level mean weighted by task count,0.1286561141754212
Physiological,Tox21,classification,ConfSeq,75.56025642345693,4.95152378280825,12,True,dataset-level mean weighted by task count,0.0
Physiological,Sider,classification,RMMol,65.47,6.41,27,True,dataset-level mean weighted by task count,0.8524783980166093
Physiological,Sider,classification,MoLFormer,61.03,3.74,27,True,dataset-level mean weighted by task count,0.053702894594355
Physiological,Sider,classification,MoleBERT,66.29,6.19,27,True,dataset-level mean weighted by task count,1.0
Physiological,Sider,classification,GROVER,66.12,0.37,27,True,dataset-level mean weighted by task count,0.9694162532473458
Physiological,Sider,classification,UniMol,63.41,6.23,27,True,dataset-level mean weighted by task count,0.4818753491315087
Physiological,Sider,classification,FCFP,63.86,5.11,27,True,dataset-level mean weighted by task count,0.5628323258297108
Physiological,Sider,classification,ConfSeq,60.73149203252057,4.2464716939057805,27,True,dataset-level mean weighted by task count,0.0
Biophysics,BACE,classification,RMMol,89.63,1.5,1,True,dataset-level mean weighted by task count,1.0
Biophysics,BACE,classification,MoLFormer,89.27,1.48,1,True,dataset-level mean weighted by task count,0.9490806223479492
Biophysics,BACE,classification,MoleBERT,84.96,2.07,1,True,dataset-level mean weighted by task count,0.3394625176803386
Biophysics,BACE,classification,GROVER,87.5,1.56,1,True,dataset-level mean weighted by task count,0.6987270155586991
Biophysics,BACE,classification,UniMol,82.56,1.94,1,True,dataset-level mean weighted by task count,0.0
Biophysics,BACE,classification,FCFP,87.33,0.0,1,True,dataset-level mean weighted by task count,0.6746817538896748
Biophysics,BACE,classification,ConfSeq,87.03935775406599,0.0,1,True,dataset-level mean weighted by task count,0.6335725253275801
